Run,Array Size,Sorting Algorithm,Execution Time (ns),,,Sorting Algorithm,Median,Standard Deviation
1,100,QuickSortGPT,5580563,,,QuickSortGPT,7389246,4765881.72384051
1,100,SelectionSortGPT,623539,,,SelectionSortGPT,325120711,291319256.409934
1,100,BubbleSortUntilNoChange,1451337,,,BubbleSortUntilNoChange,1308606479,945753105.261367
1,100,BubbleSortWhileNeeded,452060,,,BubbleSortWhileNeeded,912053535,847098581.785006
1,1000,QuickSortGPT,5871636,,,,,
1,1000,SelectionSortGPT,644866178,,,,,
1,1000,BubbleSortUntilNoChange,1711485841,,,,,
1,1000,BubbleSortWhileNeeded,759208444,,,,,
1,5000,QuickSortGPT,14325295,,,,,
1,5000,SelectionSortGPT,208392671,,,,,
1,5000,BubbleSortUntilNoChange,1801950245,,,,,
1,5000,BubbleSortWhileNeeded,2308625464,,,,,
1,10000,QuickSortGPT,16910838,,,,,
1,10000,SelectionSortGPT,458649338,,,,,
1,10000,BubbleSortUntilNoChange,1081205262,,,,,
1,10000,BubbleSortWhileNeeded,57094364,,,,,
1,20000,QuickSortGPT,8616284,,,,,
1,20000,SelectionSortGPT,435280172,,,,,
1,20000,BubbleSortUntilNoChange,2821815268,,,,,
1,20000,BubbleSortWhileNeeded,256482687,,,,,
2,100,QuickSortGPT,5379392,,,,,
2,100,SelectionSortGPT,891216,,,,,
2,100,BubbleSortUntilNoChange,1492723,,,,,
2,100,BubbleSortWhileNeeded,879813,,,,,
2,1000,QuickSortGPT,2647627,,,,,
2,1000,SelectionSortGPT,73644563,,,,,
2,1000,BubbleSortUntilNoChange,2290133007,,,,,
2,1000,BubbleSortWhileNeeded,1242656941,,,,,
2,5000,QuickSortGPT,8226595,,,,,
2,5000,SelectionSortGPT,890355359,,,,,
2,5000,BubbleSortUntilNoChange,2092547295,,,,,
2,5000,BubbleSortWhileNeeded,1694802715,,,,,
2,10000,QuickSortGPT,8338406,,,,,
2,10000,SelectionSortGPT,789659568,,,,,
2,10000,BubbleSortUntilNoChange,2421653468,,,,,
2,10000,BubbleSortWhileNeeded,695447200,,,,,
2,20000,QuickSortGPT,4859714,,,,,
2,20000,SelectionSortGPT,169650324,,,,,
2,20000,BubbleSortUntilNoChange,105138006,,,,,
2,20000,BubbleSortWhileNeeded,2305584524,,,,,
3,100,QuickSortGPT,1232318,,,,,
3,100,SelectionSortGPT,390636,,,,,
3,100,BubbleSortUntilNoChange,1114027,,,,,
3,100,BubbleSortWhileNeeded,337992,,,,,
3,1000,QuickSortGPT,970103,,,,,
3,1000,SelectionSortGPT,521926596,,,,,
3,1000,BubbleSortUntilNoChange,716886471,,,,,
3,1000,BubbleSortWhileNeeded,1216875866,,,,,
3,5000,QuickSortGPT,19669062,,,,,
3,5000,SelectionSortGPT,731978199,,,,,
3,5000,BubbleSortUntilNoChange,1246842695,,,,,
3,5000,BubbleSortWhileNeeded,237832189,,,,,
3,10000,QuickSortGPT,4958046,,,,,
3,10000,SelectionSortGPT,673838865,,,,,
3,10000,BubbleSortUntilNoChange,1063999477,,,,,
3,10000,BubbleSortWhileNeeded,426686306,,,,,
3,20000,QuickSortGPT,9916184,,,,,
3,20000,SelectionSortGPT,50079939,,,,,
3,20000,BubbleSortUntilNoChange,1097594532,,,,,
3,20000,BubbleSortWhileNeeded,2352249665,,,,,
4,100,QuickSortGPT,1906509,,,,,
4,100,SelectionSortGPT,509781,,,,,
4,100,BubbleSortUntilNoChange,979164,,,,,
4,100,BubbleSortWhileNeeded,381421,,,,,
4,1000,QuickSortGPT,7046888,,,,,
4,1000,SelectionSortGPT,535490886,,,,,
4,1000,BubbleSortUntilNoChange,1860836039,,,,,
4,1000,BubbleSortWhileNeeded,1255648808,,,,,
4,5000,QuickSortGPT,11709739,,,,,
4,5000,SelectionSortGPT,462829371,,,,,
4,5000,BubbleSortUntilNoChange,1340201822,,,,,
4,5000,BubbleSortWhileNeeded,1569784171,,,,,
4,10000,QuickSortGPT,10590513,,,,,
4,10000,SelectionSortGPT,843307883,,,,,
4,10000,BubbleSortUntilNoChange,2425081893,,,,,
4,10000,BubbleSortWhileNeeded,2231798752,,,,,
4,20000,QuickSortGPT,7101868,,,,,
4,20000,SelectionSortGPT,815525808,,,,,
4,20000,BubbleSortUntilNoChange,2676352238,,,,,
4,20000,BubbleSortWhileNeeded,1436027025,,,,,
5,100,QuickSortGPT,390379,,,,,
5,100,SelectionSortGPT,750825,,,,,
5,100,BubbleSortUntilNoChange,1152138,,,,,
5,100,BubbleSortWhileNeeded,470869,,,,,
5,1000,QuickSortGPT,2917098,,,,,
5,1000,SelectionSortGPT,480312495,,,,,
5,1000,BubbleSortUntilNoChange,2418012464,,,,,
5,1000,BubbleSortWhileNeeded,1725606596,,,,,
5,5000,QuickSortGPT,7988395,,,,,
5,5000,SelectionSortGPT,426310785,,,,,
5,5000,BubbleSortUntilNoChange,1886752774,,,,,
5,5000,BubbleSortWhileNeeded,598609079,,,,,
5,10000,QuickSortGPT,14465752,,,,,
5,10000,SelectionSortGPT,543764216,,,,,
5,10000,BubbleSortUntilNoChange,2432389364,,,,,
5,10000,BubbleSortWhileNeeded,242263335,,,,,
5,20000,QuickSortGPT,8189304,,,,,
5,20000,SelectionSortGPT,72343586,,,,,
5,20000,BubbleSortUntilNoChange,2465508289,,,,,
5,20000,BubbleSortWhileNeeded,814078058,,,,,
6,100,QuickSortGPT,4351303,,,,,
6,100,SelectionSortGPT,662218,,,,,
6,100,BubbleSortUntilNoChange,824297,,,,,
6,100,BubbleSortWhileNeeded,552422,,,,,
6,1000,QuickSortGPT,1571574,,,,,
6,1000,SelectionSortGPT,178733153,,,,,
6,1000,BubbleSortUntilNoChange,1654903595,,,,,
6,1000,BubbleSortWhileNeeded,912053535,,,,,
6,5000,QuickSortGPT,4541222,,,,,
6,5000,SelectionSortGPT,677069576,,,,,
6,5000,BubbleSortUntilNoChange,2471929389,,,,,
6,5000,BubbleSortWhileNeeded,145402071,,,,,
6,10000,QuickSortGPT,5600715,,,,,
6,10000,SelectionSortGPT,105126633,,,,,
6,10000,BubbleSortUntilNoChange,2701025789,,,,,
6,10000,BubbleSortWhileNeeded,2293400687,,,,,
6,20000,QuickSortGPT,14094604,,,,,
6,20000,SelectionSortGPT,726335825,,,,,
6,20000,BubbleSortUntilNoChange,215686835,,,,,
6,20000,BubbleSortWhileNeeded,904487268,,,,,
7,100,QuickSortGPT,4406984,,,,,
7,100,SelectionSortGPT,618193,,,,,
7,100,BubbleSortUntilNoChange,1010175,,,,,
7,100,BubbleSortWhileNeeded,770310,,,,,
7,1000,QuickSortGPT,3493968,,,,,
7,1000,SelectionSortGPT,18906143,,,,,
7,1000,BubbleSortUntilNoChange,2465406799,,,,,
7,1000,BubbleSortWhileNeeded,2090527484,,,,,
7,5000,QuickSortGPT,19459006,,,,,
7,5000,SelectionSortGPT,587838354,,,,,
7,5000,BubbleSortUntilNoChange,2148420216,,,,,
7,5000,BubbleSortWhileNeeded,1505494203,,,,,
7,10000,QuickSortGPT,7389246,,,,,
7,10000,SelectionSortGPT,515626521,,,,,
7,10000,BubbleSortUntilNoChange,219175695,,,,,
7,10000,BubbleSortWhileNeeded,2104051814,,,,,
7,20000,QuickSortGPT,6975761,,,,,
7,20000,SelectionSortGPT,733474712,,,,,
7,20000,BubbleSortUntilNoChange,1477332308,,,,,
7,20000,BubbleSortWhileNeeded,841446276,,,,,
8,100,QuickSortGPT,8848072,,,,,
8,100,SelectionSortGPT,833796,,,,,
8,100,BubbleSortUntilNoChange,974523,,,,,
8,100,BubbleSortWhileNeeded,880768,,,,,
8,1000,QuickSortGPT,2336465,,,,,
8,1000,SelectionSortGPT,515845971,,,,,
8,1000,BubbleSortUntilNoChange,2142250285,,,,,
8,1000,BubbleSortWhileNeeded,583011948,,,,,
8,5000,QuickSortGPT,6441397,,,,,
8,5000,SelectionSortGPT,9520365,,,,,
8,5000,BubbleSortUntilNoChange,1888760239,,,,,
8,5000,BubbleSortWhileNeeded,1669627653,,,,,
8,10000,QuickSortGPT,8046284,,,,,
8,10000,SelectionSortGPT,231690577,,,,,
8,10000,BubbleSortUntilNoChange,956330166,,,,,
8,10000,BubbleSortWhileNeeded,2459703920,,,,,
8,20000,QuickSortGPT,7158328,,,,,
8,20000,SelectionSortGPT,97969788,,,,,
8,20000,BubbleSortUntilNoChange,1179431654,,,,,
8,20000,BubbleSortWhileNeeded,187934636,,,,,
9,100,QuickSortGPT,7750069,,,,,
9,100,SelectionSortGPT,605739,,,,,
9,100,BubbleSortUntilNoChange,963282,,,,,
9,100,BubbleSortWhileNeeded,602041,,,,,
9,1000,QuickSortGPT,8532582,,,,,
9,1000,SelectionSortGPT,325120711,,,,,
9,1000,BubbleSortUntilNoChange,1308606479,,,,,
9,1000,BubbleSortWhileNeeded,1769253173,,,,,
9,5000,QuickSortGPT,8953162,,,,,
9,5000,SelectionSortGPT,257841241,,,,,
9,5000,BubbleSortUntilNoChange,1776938378,,,,,
9,5000,BubbleSortWhileNeeded,406279997,,,,,
9,10000,QuickSortGPT,6664305,,,,,
9,10000,SelectionSortGPT,46251535,,,,,
9,10000,BubbleSortUntilNoChange,733092012,,,,,
9,10000,BubbleSortWhileNeeded,647865309,,,,,
9,20000,QuickSortGPT,17813905,,,,,
9,20000,SelectionSortGPT,523632117,,,,,
9,20000,BubbleSortUntilNoChange,945122491,,,,,
9,20000,BubbleSortWhileNeeded,2454185920,,,,,
10,100,QuickSortGPT,3983510,,,,,
10,100,SelectionSortGPT,563884,,,,,
10,100,BubbleSortUntilNoChange,1031835,,,,,
10,100,BubbleSortWhileNeeded,328311,,,,,
10,1000,QuickSortGPT,7828531,,,,,
10,1000,SelectionSortGPT,253688781,,,,,
10,1000,BubbleSortUntilNoChange,1975988284,,,,,
10,1000,BubbleSortWhileNeeded,681394876,,,,,
10,5000,QuickSortGPT,12163156,,,,,
10,5000,SelectionSortGPT,701466451,,,,,
10,5000,BubbleSortUntilNoChange,1773421401,,,,,
10,5000,BubbleSortWhileNeeded,2148457249,,,,,
10,10000,QuickSortGPT,7122029,,,,,
10,10000,SelectionSortGPT,514601194,,,,,
10,10000,BubbleSortUntilNoChange,291281681,,,,,
10,10000,BubbleSortWhileNeeded,253473176,,,,,
10,20000,QuickSortGPT,5807307,,,,,
10,20000,SelectionSortGPT,268443021,,,,,
10,20000,BubbleSortUntilNoChange,2025022840,,,,,
10,20000,BubbleSortWhileNeeded,1923015032,,,,,
11,100,QuickSortGPT,1398125,,,,,
11,100,SelectionSortGPT,607118,,,,,
11,100,BubbleSortUntilNoChange,760024,,,,,
11,100,BubbleSortWhileNeeded,310723,,,,,
11,1000,QuickSortGPT,7562576,,,,,
11,1000,SelectionSortGPT,757089823,,,,,
11,1000,BubbleSortUntilNoChange,2194513997,,,,,
11,1000,BubbleSortWhileNeeded,294386651,,,,,
11,5000,QuickSortGPT,9704387,,,,,
11,5000,SelectionSortGPT,897539071,,,,,
11,5000,BubbleSortUntilNoChange,760040682,,,,,
11,5000,BubbleSortWhileNeeded,484874097,,,,,
11,10000,QuickSortGPT,14677458,,,,,
11,10000,SelectionSortGPT,108240091,,,,,
11,10000,BubbleSortUntilNoChange,1523861957,,,,,
11,10000,BubbleSortWhileNeeded,2436451489,,,,,
11,20000,QuickSortGPT,7948321,,,,,
11,20000,SelectionSortGPT,826078008,,,,,
11,20000,BubbleSortUntilNoChange,372558211,,,,,
11,20000,BubbleSortWhileNeeded,1948896328,,,,,
12,100,QuickSortGPT,4804492,,,,,
12,100,SelectionSortGPT,450668,,,,,
12,100,BubbleSortUntilNoChange,907509,,,,,
12,100,BubbleSortWhileNeeded,567613,,,,,
12,1000,QuickSortGPT,6761093,,,,,
12,1000,SelectionSortGPT,689282370,,,,,
12,1000,BubbleSortUntilNoChange,1978757108,,,,,
12,1000,BubbleSortWhileNeeded,955894390,,,,,
12,5000,QuickSortGPT,15093433,,,,,
12,5000,SelectionSortGPT,111748604,,,,,
12,5000,BubbleSortUntilNoChange,1111688898,,,,,
12,5000,BubbleSortWhileNeeded,944434255,,,,,
12,10000,QuickSortGPT,10796397,,,,,
12,10000,SelectionSortGPT,380969584,,,,,
12,10000,BubbleSortUntilNoChange,1622785585,,,,,
12,10000,BubbleSortWhileNeeded,2393721600,,,,,
12,20000,QuickSortGPT,10693193,,,,,
12,20000,SelectionSortGPT,660646089,,,,,
12,20000,BubbleSortUntilNoChange,2020876030,,,,,
12,20000,BubbleSortWhileNeeded,1126346390,,,,,
13,100,QuickSortGPT,2349124,,,,,
13,100,SelectionSortGPT,562654,,,,,
13,100,BubbleSortUntilNoChange,725806,,,,,
13,100,BubbleSortWhileNeeded,328434,,,,,
13,1000,QuickSortGPT,6118252,,,,,
13,1000,SelectionSortGPT,63003659,,,,,
13,1000,BubbleSortUntilNoChange,446925374,,,,,
13,1000,BubbleSortWhileNeeded,117884413,,,,,
13,5000,QuickSortGPT,13339078,,,,,
13,5000,SelectionSortGPT,117499177,,,,,
13,5000,BubbleSortUntilNoChange,858066402,,,,,
13,5000,BubbleSortWhileNeeded,629186456,,,,,
13,10000,QuickSortGPT,8239548,,,,,
13,10000,SelectionSortGPT,230335120,,,,,
13,10000,BubbleSortUntilNoChange,2261040114,,,,,
13,10000,BubbleSortWhileNeeded,2338629256,,,,,
13,20000,QuickSortGPT,10926584,,,,,
13,20000,SelectionSortGPT,382930895,,,,,
13,20000,BubbleSortUntilNoChange,121109706,,,,,
13,20000,BubbleSortWhileNeeded,1935488624,,,,,
14,100,QuickSortGPT,2627618,,,,,
14,100,SelectionSortGPT,841932,,,,,
14,100,BubbleSortUntilNoChange,1223738,,,,,
14,100,BubbleSortWhileNeeded,795305,,,,,
14,1000,QuickSortGPT,3624127,,,,,
14,1000,SelectionSortGPT,771268474,,,,,
14,1000,BubbleSortUntilNoChange,2636209633,,,,,
14,1000,BubbleSortWhileNeeded,1666660131,,,,,
14,5000,QuickSortGPT,8510567,,,,,
14,5000,SelectionSortGPT,302294225,,,,,
14,5000,BubbleSortUntilNoChange,1874357738,,,,,
14,5000,BubbleSortWhileNeeded,1300074109,,,,,
14,10000,QuickSortGPT,10378020,,,,,
14,10000,SelectionSortGPT,650975053,,,,,
14,10000,BubbleSortUntilNoChange,1751045533,,,,,
14,10000,BubbleSortWhileNeeded,2490788272,,,,,
14,20000,QuickSortGPT,15944365,,,,,
14,20000,SelectionSortGPT,481478160,,,,,
14,20000,BubbleSortUntilNoChange,166747407,,,,,
14,20000,BubbleSortWhileNeeded,464492139,,,,,
15,100,QuickSortGPT,3220572,,,,,
15,100,SelectionSortGPT,719271,,,,,
15,100,BubbleSortUntilNoChange,1434662,,,,,
15,100,BubbleSortWhileNeeded,931373,,,,,
15,1000,QuickSortGPT,6552254,,,,,
15,1000,SelectionSortGPT,88781213,,,,,
15,1000,BubbleSortUntilNoChange,2589059989,,,,,
15,1000,BubbleSortWhileNeeded,1303443504,,,,,
15,5000,QuickSortGPT,6699709,,,,,
15,5000,SelectionSortGPT,761022583,,,,,
15,5000,BubbleSortUntilNoChange,2451689290,,,,,
15,5000,BubbleSortWhileNeeded,626989972,,,,,
15,10000,QuickSortGPT,17734869,,,,,
15,10000,SelectionSortGPT,625536929,,,,,
15,10000,BubbleSortUntilNoChange,1668735391,,,,,
15,10000,BubbleSortWhileNeeded,2350221150,,,,,
15,20000,QuickSortGPT,9657592,,,,,
15,20000,SelectionSortGPT,652569734,,,,,
15,20000,BubbleSortUntilNoChange,1205520573,,,,,
15,20000,BubbleSortWhileNeeded,625903469,,,,,
16,100,QuickSortGPT,8926946,,,,,
16,100,SelectionSortGPT,945128,,,,,
16,100,BubbleSortUntilNoChange,1351827,,,,,
16,100,BubbleSortWhileNeeded,608307,,,,,
16,1000,QuickSortGPT,4144852,,,,,
16,1000,SelectionSortGPT,688126451,,,,,
16,1000,BubbleSortUntilNoChange,2428199300,,,,,
16,1000,BubbleSortWhileNeeded,712431843,,,,,
16,5000,QuickSortGPT,19824061,,,,,
16,5000,SelectionSortGPT,529960773,,,,,
16,5000,BubbleSortUntilNoChange,2581876055,,,,,
16,5000,BubbleSortWhileNeeded,1319894931,,,,,
16,10000,QuickSortGPT,14073155,,,,,
16,10000,SelectionSortGPT,633691966,,,,,
16,10000,BubbleSortUntilNoChange,767451165,,,,,
16,10000,BubbleSortWhileNeeded,1177920349,,,,,
16,20000,QuickSortGPT,15438176,,,,,
16,20000,SelectionSortGPT,204419875,,,,,
16,20000,BubbleSortUntilNoChange,1190672086,,,,,
16,20000,BubbleSortWhileNeeded,918637589,,,,,
17,100,QuickSortGPT,3475027,,,,,
17,100,SelectionSortGPT,532250,,,,,
17,100,BubbleSortUntilNoChange,1331151,,,,,
17,100,BubbleSortWhileNeeded,631897,,,,,
17,1000,QuickSortGPT,3344002,,,,,
17,1000,SelectionSortGPT,558061519,,,,,
17,1000,BubbleSortUntilNoChange,99113289,,,,,
17,1000,BubbleSortWhileNeeded,283524987,,,,,
17,5000,QuickSortGPT,9262778,,,,,
17,5000,SelectionSortGPT,235653787,,,,,
17,5000,BubbleSortUntilNoChange,2425399273,,,,,
17,5000,BubbleSortWhileNeeded,1398286499,,,,,
17,10000,QuickSortGPT,4106464,,,,,
17,10000,SelectionSortGPT,373629051,,,,,
17,10000,BubbleSortUntilNoChange,2934787522,,,,,
17,10000,BubbleSortWhileNeeded,740192991,,,,,
17,20000,QuickSortGPT,10637286,,,,,
17,20000,SelectionSortGPT,506919696,,,,,
17,20000,BubbleSortUntilNoChange,1515968480,,,,,
17,20000,BubbleSortWhileNeeded,1838599991,,,,,
18,100,QuickSortGPT,750993,,,,,
18,100,SelectionSortGPT,969856,,,,,
18,100,BubbleSortUntilNoChange,1025100,,,,,
18,100,BubbleSortWhileNeeded,872456,,,,,
18,1000,QuickSortGPT,860507,,,,,
18,1000,SelectionSortGPT,425492514,,,,,
18,1000,BubbleSortUntilNoChange,1060176748,,,,,
18,1000,BubbleSortWhileNeeded,1469736336,,,,,
18,5000,QuickSortGPT,17236431,,,,,
18,5000,SelectionSortGPT,472285600,,,,,
18,5000,BubbleSortUntilNoChange,1267014955,,,,,
18,5000,BubbleSortWhileNeeded,2137947101,,,,,
18,10000,QuickSortGPT,13029600,,,,,
18,10000,SelectionSortGPT,402631573,,,,,
18,10000,BubbleSortUntilNoChange,804436902,,,,,
18,10000,BubbleSortWhileNeeded,2304057293,,,,,
18,20000,QuickSortGPT,13046296,,,,,
