Run,Array Size,Sorting Algorithm,Execution Time (ns),,,Sorting Algorithm,Median,Standard Deviation
1,100,QuickSortGPT,662081,,,QuickSortGPT,51517212,266392199.62465
1,100,SelectionSortGPT,384882,,,SelectionSortGPT,47435332,168010028.710009
1,100,BubbleSortUntilNoChange,681802,,,BubbleSortUntilNoChange,115883560,703063522.277255
1,100,BubbleSortWhileNeeded,365624,,,BubbleSortWhileNeeded,90683131,528289876.47984
1,1000,QuickSortGPT,6617340,,,,,
1,1000,SelectionSortGPT,5774254,,,,,
1,1000,BubbleSortUntilNoChange,14544374,,,,,
1,1000,BubbleSortWhileNeeded,10498843,,,,,
1,5000,QuickSortGPT,54827445,,,,,
1,5000,SelectionSortGPT,46728221,,,,,
1,5000,BubbleSortUntilNoChange,110266773,,,,,
1,5000,BubbleSortWhileNeeded,88498592,,,,,
1,10000,QuickSortGPT,158470946,,,,,
1,10000,SelectionSortGPT,91499303,,,,,
1,10000,BubbleSortUntilNoChange,381497890,,,,,
1,10000,BubbleSortWhileNeeded,224428990,,,,,
1,20000,QuickSortGPT,728058609,,,,,
1,20000,SelectionSortGPT,448631420,,,,,
1,20000,BubbleSortUntilNoChange,1804017067,,,,,
1,20000,BubbleSortWhileNeeded,1415739362,,,,,
2,100,QuickSortGPT,680176,,,,,
2,100,SelectionSortGPT,387500,,,,,
2,100,BubbleSortUntilNoChange,645879,,,,,
2,100,BubbleSortWhileNeeded,370363,,,,,
2,1000,QuickSortGPT,6732435,,,,,
2,1000,SelectionSortGPT,6023870,,,,,
2,1000,BubbleSortUntilNoChange,14505987,,,,,
2,1000,BubbleSortWhileNeeded,10761132,,,,,
2,5000,QuickSortGPT,51517212,,,,,
2,5000,SelectionSortGPT,44893387,,,,,
2,5000,BubbleSortUntilNoChange,117164791,,,,,
2,5000,BubbleSortWhileNeeded,90425307,,,,,
2,10000,QuickSortGPT,162830920,,,,,
2,10000,SelectionSortGPT,97784344,,,,,
2,10000,BubbleSortUntilNoChange,374834786,,,,,
2,10000,BubbleSortWhileNeeded,229719931,,,,,
2,20000,QuickSortGPT,699905133,,,,,
2,20000,SelectionSortGPT,465052070,,,,,
2,20000,BubbleSortUntilNoChange,1886033101,,,,,
2,20000,BubbleSortWhileNeeded,1427181067,,,,,
3,100,QuickSortGPT,696630,,,,,
3,100,SelectionSortGPT,373306,,,,,
3,100,BubbleSortUntilNoChange,701447,,,,,
3,100,BubbleSortWhileNeeded,387622,,,,,
3,1000,QuickSortGPT,6595328,,,,,
3,1000,SelectionSortGPT,5978899,,,,,
3,1000,BubbleSortUntilNoChange,14660491,,,,,
3,1000,BubbleSortWhileNeeded,10189521,,,,,
3,5000,QuickSortGPT,52827919,,,,,
3,5000,SelectionSortGPT,47827274,,,,,
3,5000,BubbleSortUntilNoChange,120264573,,,,,
3,5000,BubbleSortWhileNeeded,88509449,,,,,
3,10000,QuickSortGPT,157702433,,,,,
3,10000,SelectionSortGPT,94188064,,,,,
3,10000,BubbleSortUntilNoChange,366829625,,,,,
3,10000,BubbleSortWhileNeeded,232624913,,,,,
3,20000,QuickSortGPT,727955533,,,,,
3,20000,SelectionSortGPT,463658306,,,,,
3,20000,BubbleSortUntilNoChange,1902275167,,,,,
3,20000,BubbleSortWhileNeeded,1400955979,,,,,
4,100,QuickSortGPT,658711,,,,,
4,100,SelectionSortGPT,380786,,,,,
4,100,BubbleSortUntilNoChange,648078,,,,,
4,100,BubbleSortWhileNeeded,395215,,,,,
4,1000,QuickSortGPT,6939657,,,,,
4,1000,SelectionSortGPT,5987659,,,,,
4,1000,BubbleSortUntilNoChange,14455849,,,,,
4,1000,BubbleSortWhileNeeded,10710641,,,,,
4,5000,QuickSortGPT,51120432,,,,,
4,5000,SelectionSortGPT,47435332,,,,,
4,5000,BubbleSortUntilNoChange,119447492,,,,,
4,5000,BubbleSortWhileNeeded,95975651,,,,,
4,10000,QuickSortGPT,148246719,,,,,
4,10000,SelectionSortGPT,97211435,,,,,
4,10000,BubbleSortUntilNoChange,355413857,,,,,
4,10000,BubbleSortWhileNeeded,230302938,,,,,
4,20000,QuickSortGPT,689630098,,,,,
4,20000,SelectionSortGPT,434540916,,,,,
4,20000,BubbleSortUntilNoChange,1791989532,,,,,
4,20000,BubbleSortWhileNeeded,1434446663,,,,,
5,100,QuickSortGPT,693676,,,,,
5,100,SelectionSortGPT,385469,,,,,
5,100,BubbleSortUntilNoChange,672430,,,,,
5,100,BubbleSortWhileNeeded,379849,,,,,
5,1000,QuickSortGPT,6600487,,,,,
5,1000,SelectionSortGPT,6009374,,,,,
5,1000,BubbleSortUntilNoChange,14788852,,,,,
5,1000,BubbleSortWhileNeeded,10024127,,,,,
5,5000,QuickSortGPT,53995719,,,,,
5,5000,SelectionSortGPT,49330769,,,,,
5,5000,BubbleSortUntilNoChange,115883560,,,,,
5,5000,BubbleSortWhileNeeded,90496839,,,,,
5,10000,QuickSortGPT,148573930,,,,,
5,10000,SelectionSortGPT,97604576,,,,,
5,10000,BubbleSortUntilNoChange,369621805,,,,,
5,10000,BubbleSortWhileNeeded,230433609,,,,,
5,20000,QuickSortGPT,674888673,,,,,
5,20000,SelectionSortGPT,427770295,,,,,
5,20000,BubbleSortUntilNoChange,1836711628,,,,,
5,20000,BubbleSortWhileNeeded,1386471615,,,,,
6,100,QuickSortGPT,658004,,,,,
6,100,SelectionSortGPT,406911,,,,,
6,100,BubbleSortUntilNoChange,647990,,,,,
6,100,BubbleSortWhileNeeded,370581,,,,,
6,1000,QuickSortGPT,6896013,,,,,
6,1000,SelectionSortGPT,6105013,,,,,
6,1000,BubbleSortUntilNoChange,13725584,,,,,
6,1000,BubbleSortWhileNeeded,10018612,,,,,
6,5000,QuickSortGPT,51756400,,,,,
6,5000,SelectionSortGPT,45507216,,,,,
6,5000,BubbleSortUntilNoChange,115901292,,,,,
6,5000,BubbleSortWhileNeeded,90683131,,,,,
6,10000,QuickSortGPT,153089789,,,,,
6,10000,SelectionSortGPT,100895887,,,,,
6,10000,BubbleSortUntilNoChange,365728566,,,,,
6,10000,BubbleSortWhileNeeded,232882752,,,,,
6,20000,QuickSortGPT,688396356,,,,,
6,20000,SelectionSortGPT,434647701,,,,,
6,20000,BubbleSortUntilNoChange,1892103443,,,,,
6,20000,BubbleSortWhileNeeded,1374849377,,,,,
7,100,QuickSortGPT,692405,,,,,
7,100,SelectionSortGPT,374547,,,,,
7,100,BubbleSortUntilNoChange,692343,,,,,
7,100,BubbleSortWhileNeeded,365229,,,,,
7,1000,QuickSortGPT,6362161,,,,,
7,1000,SelectionSortGPT,5608897,,,,,
7,1000,BubbleSortUntilNoChange,14786625,,,,,
7,1000,BubbleSortWhileNeeded,9819463,,,,,
7,5000,QuickSortGPT,52927019,,,,,
7,5000,SelectionSortGPT,49248381,,,,,
7,5000,BubbleSortUntilNoChange,116624151,,,,,
7,5000,BubbleSortWhileNeeded,92694537,,,,,
7,10000,QuickSortGPT,149445162,,,,,
7,10000,SelectionSortGPT,91757092,,,,,
7,10000,BubbleSortUntilNoChange,348373348,,,,,
7,10000,BubbleSortWhileNeeded,227071036,,,,,
7,20000,QuickSortGPT,710900795,,,,,
7,20000,SelectionSortGPT,438749227,,,,,
7,20000,BubbleSortUntilNoChange,1818664409,,,,,
7,20000,BubbleSortWhileNeeded,1429167643,,,,,
8,100,QuickSortGPT,654289,,,,,
8,100,SelectionSortGPT,386832,,,,,
8,100,BubbleSortUntilNoChange,687688,,,,,
8,100,BubbleSortWhileNeeded,394489,,,,,
8,1000,QuickSortGPT,6731168,,,,,
8,1000,SelectionSortGPT,5871986,,,,,
8,1000,BubbleSortUntilNoChange,14042629,,,,,
8,1000,BubbleSortWhileNeeded,10227152,,,,,
8,5000,QuickSortGPT,50949564,,,,,
8,5000,SelectionSortGPT,48022600,,,,,
8,5000,BubbleSortUntilNoChange,110324044,,,,,
8,5000,BubbleSortWhileNeeded,87545702,,,,,
8,10000,QuickSortGPT,150635876,,,,,
8,10000,SelectionSortGPT,98463396,,,,,
