Run,Array Size,Sorting Algorithm,Execution Time (ns),,,Sorting Algorithm,Median,Standard Deviation
1,100,QuickSortGPT,321275,,,QuickSortGPT,18975726,122273246.407979
1,100,SelectionSortGPT,133019,,,SelectionSortGPT,11012648,41181508.4965361
1,100,BubbleSortUntilNoChange,5889,,,BubbleSortUntilNoChange,118838,173966.562617894
1,100,BubbleSortWhileNeeded,3926,,,BubbleSortWhileNeeded,127132,152823.186391245
1,1000,QuickSortGPT,12513882,,,,,
1,1000,SelectionSortGPT,3221302,,,,,
1,1000,BubbleSortUntilNoChange,79912,,,,,
1,1000,BubbleSortWhileNeeded,22946,,,,,
1,5000,QuickSortGPT,19800827,,,,,
1,5000,SelectionSortGPT,11336846,,,,,
1,5000,BubbleSortUntilNoChange,125294,,,,,
1,5000,BubbleSortWhileNeeded,121243,,,,,
1,10000,QuickSortGPT,83700488,,,,,
1,10000,SelectionSortGPT,27462402,,,,,
1,10000,BubbleSortUntilNoChange,251015,,,,,
1,10000,BubbleSortWhileNeeded,221204,,,,,
1,20000,QuickSortGPT,310706274,,,,,
1,20000,SelectionSortGPT,107390072,,,,,
1,20000,BubbleSortUntilNoChange,510161,,,,,
1,20000,BubbleSortWhileNeeded,433429,,,,,
2,100,QuickSortGPT,324322,,,,,
2,100,SelectionSortGPT,134739,,,,,
2,100,BubbleSortUntilNoChange,5724,,,,,
2,100,BubbleSortWhileNeeded,4328,,,,,
2,1000,QuickSortGPT,13506526,,,,,
2,1000,SelectionSortGPT,3259811,,,,,
2,1000,BubbleSortUntilNoChange,79705,,,,,
2,1000,BubbleSortWhileNeeded,22405,,,,,
2,5000,QuickSortGPT,19949982,,,,,
2,5000,SelectionSortGPT,11253165,,,,,
2,5000,BubbleSortUntilNoChange,114639,,,,,
2,5000,BubbleSortWhileNeeded,124609,,,,,
2,10000,QuickSortGPT,83066391,,,,,
2,10000,SelectionSortGPT,29022090,,,,,
2,10000,BubbleSortUntilNoChange,253116,,,,,
2,10000,BubbleSortWhileNeeded,208573,,,,,
2,20000,QuickSortGPT,335409269,,,,,
2,20000,SelectionSortGPT,107224914,,,,,
2,20000,BubbleSortUntilNoChange,493971,,,,,
2,20000,BubbleSortWhileNeeded,418494,,,,,
3,100,QuickSortGPT,317636,,,,,
3,100,SelectionSortGPT,131317,,,,,
3,100,BubbleSortUntilNoChange,5706,,,,,
3,100,BubbleSortWhileNeeded,4107,,,,,
3,1000,QuickSortGPT,13146155,,,,,
3,1000,SelectionSortGPT,3412973,,,,,
3,1000,BubbleSortUntilNoChange,79487,,,,,
3,1000,BubbleSortWhileNeeded,22849,,,,,
3,5000,QuickSortGPT,19325628,,,,,
3,5000,SelectionSortGPT,11189911,,,,,
3,5000,BubbleSortUntilNoChange,122931,,,,,
3,5000,BubbleSortWhileNeeded,125776,,,,,
3,10000,QuickSortGPT,87940930,,,,,
3,10000,SelectionSortGPT,27278054,,,,,
3,10000,BubbleSortUntilNoChange,242060,,,,,
3,10000,BubbleSortWhileNeeded,216892,,,,,
3,20000,QuickSortGPT,320315969,,,,,
3,20000,SelectionSortGPT,115186558,,,,,
3,20000,BubbleSortUntilNoChange,474434,,,,,
3,20000,BubbleSortWhileNeeded,426981,,,,,
4,100,QuickSortGPT,312362,,,,,
4,100,SelectionSortGPT,131879,,,,,
4,100,BubbleSortUntilNoChange,5870,,,,,
4,100,BubbleSortWhileNeeded,4006,,,,,
4,1000,QuickSortGPT,13470201,,,,,
4,1000,SelectionSortGPT,3294831,,,,,
4,1000,BubbleSortUntilNoChange,74750,,,,,
4,1000,BubbleSortWhileNeeded,21933,,,,,
4,5000,QuickSortGPT,19361184,,,,,
4,5000,SelectionSortGPT,10696069,,,,,
4,5000,BubbleSortUntilNoChange,118279,,,,,
4,5000,BubbleSortWhileNeeded,120862,,,,,
4,10000,QuickSortGPT,82596851,,,,,
4,10000,SelectionSortGPT,29211095,,,,,
4,10000,BubbleSortUntilNoChange,253032,,,,,
4,10000,BubbleSortWhileNeeded,204471,,,,,
4,20000,QuickSortGPT,325721361,,,,,
4,20000,SelectionSortGPT,109626723,,,,,
4,20000,BubbleSortUntilNoChange,506174,,,,,
4,20000,BubbleSortWhileNeeded,409958,,,,,
5,100,QuickSortGPT,309738,,,,,
