First Run (Reverse Sorted Input)
Array Size,Sorting Algorithm,Execution Time (ns)
100,QuickSortGPT,676599
100,SelectionSortGPT,388001
100,BubbleSortUntilNoChange,672199
100,BubbleSortWhileNeeded,378101
1000,QuickSortGPT,6628199
1000,SelectionSortGPT,5828800
1000,BubbleSortUntilNoChange,14094900
1000,BubbleSortWhileNeeded,10254699
5000,QuickSortGPT,52567400
5000,SelectionSortGPT,47029000
5000,BubbleSortUntilNoChange,115856200
5000,BubbleSortWhileNeeded,92139399
10000,QuickSortGPT,155133600
10000,SelectionSortGPT,96131200
10000,BubbleSortUntilNoChange,363911800
10000,BubbleSortWhileNeeded,232569999
20000,QuickSortGPT,693754800
20000,SelectionSortGPT,448390400
20000,BubbleSortUntilNoChange,1840051800
20000,BubbleSortWhileNeeded,1367189699
Second Run (Reverse Sorted Input)
Array Size,Sorting Algorithm,Execution Time (ns)
100,QuickSortGPT,746000
100,SelectionSortGPT,513799
100,BubbleSortUntilNoChange,889500
100,BubbleSortWhileNeeded,572700
1000,QuickSortGPT,17098500
1000,SelectionSortGPT,8277601
1000,BubbleSortUntilNoChange,32959100
1000,BubbleSortWhileNeeded,18304600
5000,QuickSortGPT,68126900
5000,SelectionSortGPT,72170700
5000,BubbleSortUntilNoChange,146504200
5000,BubbleSortWhileNeeded,110405900
10000,QuickSortGPT,217620999
10000,SelectionSortGPT,129819000
10000,BubbleSortUntilNoChange,452786401
10000,BubbleSortWhileNeeded,319085800
20000,QuickSortGPT,826213900
20000,SelectionSortGPT,470839801
20000,BubbleSortUntilNoChange,1852530700
20000,BubbleSortWhileNeeded,1266742000
Third Run (Reverse Sorted Input)
Array Size,Sorting Algorithm,Execution Time (ns)
100,QuickSortGPT,851299
100,SelectionSortGPT,446500
100,BubbleSortUntilNoChange,1031600
100,BubbleSortWhileNeeded,518599
1000,QuickSortGPT,11185100
1000,SelectionSortGPT,7353600
1000,BubbleSortUntilNoChange,16015901
1000,BubbleSortWhileNeeded,12030799
5000,QuickSortGPT,59980200
5000,SelectionSortGPT,54606100
5000,BubbleSortUntilNoChange,141484500
5000,BubbleSortWhileNeeded,111709100
10000,QuickSortGPT,190698900
10000,SelectionSortGPT,120561100
10000,BubbleSortUntilNoChange,436190900
10000,BubbleSortWhileNeeded,301004700
20000,QuickSortGPT,739750299
20000,SelectionSortGPT,454849600
20000,BubbleSortUntilNoChange,1899248100
20000,BubbleSortWhileNeeded,1372333000
