Algorithm,Array Size,Average Time (ns)
BubbleSortUntilNoChange,100,427994
BubbleSortWhileNeeded,100,314725
QuickSortGPT,100,59655
SelectionSortGPT,100,265095
BubbleSortUntilNoChange,1000,6259185
BubbleSortWhileNeeded,1000,4749459
QuickSortGPT,1000,515900
SelectionSortGPT,1000,5631805
BubbleSortUntilNoChange,5000,131110070
BubbleSortWhileNeeded,5000,90012964
QuickSortGPT,5000,1093809
SelectionSortGPT,5000,107658119
BubbleSortUntilNoChange,10000,570800095
BubbleSortWhileNeeded,10000,439155530
QuickSortGPT,10000,2018029
SelectionSortGPT,10000,380222020
BubbleSortUntilNoChange,20000,3019814349
BubbleSortWhileNeeded,20000,2119322549
QuickSortGPT,20000,3774944
SelectionSortGPT,20000,1493662550
